tipo_dieta,alimento_g_dia,temperatura,humedad_ambiental,especie,tiempo_desarrollo,proteina_harina,lipidos_harina,tasa_supervivencia,fuente,observaciones
D3,3.69,30.3,53.3,Gryllidae,38,57.16,30.92,84.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.8,29.8,74.9,Gryllidae,35,57.33,32.76,85.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.63,30.5,73.9,Gryllidae,52,61.47,30.67,84.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.52,24.8,57.0,Gryllidae,31,54.17,34.82,83.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.68,28.2,65.9,Gryllidae,36,61.62,28.4,95.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,2.62,24.4,68.2,Gryllidae,47,56.03,33.05,76.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.31,28.9,76.0,Gryllidae,50,58.96,31.38,84.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.33,27.3,68.1,Gryllidae,45,61.22,27.46,88.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.47,25.4,62.4,Gryllidae,55,57.27,32.33,81.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,0.7,25.0,61.2,Gryllidae,57,62.12,27.95,91.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.3,29.9,62.8,Gryllidae,33,52.33,37.8,95.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.75,25.7,69.6,Gryllidae,58,61.84,28.37,91.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.2,33.3,76.0,Gryllidae,48,54.5,35.9,74.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,2.94,29.8,63.6,Gryllidae,49,55.02,32.99,94.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.43,27.5,57.4,Gryllidae,32,54.44,34.98,87.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.64,29.9,57.1,Gryllidae,48,60.58,29.83,84.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.21,24.2,72.4,Gryllidae,51,56.07,32.36,75.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,0.94,33.6,74.5,Gryllidae,47,56.3,33.12,75.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.27,28.8,53.2,Gryllidae,32,52.52,37.07,83.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.11,31.8,52.0,Gryllidae,45,51.31,36.66,69.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.71,24.8,67.8,Gryllidae,58,61.49,27.28,84.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.48,28.9,54.4,Gryllidae,51,59.36,30.5,84.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.04,28.9,74.7,Gryllidae,34,53.02,34.77,92.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.07,33.4,59.3,Gryllidae,58,56.2,32.73,80.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.18,29.7,54.3,Gryllidae,58,60.37,29.63,82.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.45,28.7,77.6,Gryllidae,35,52.49,34.48,84.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.98,26.7,55.0,Gryllidae,54,61.93,27.0,83.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.93,27.3,58.5,Gryllidae,42,56.28,33.41,87.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.64,29.2,54.6,Gryllidae,47,57.68,31.39,79.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.69,28.4,53.5,Gryllidae,43,60.5,27.3,84.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.66,24.2,50.6,Gryllidae,53,62.82,28.45,71.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.65,32.3,51.7,Gryllidae,59,54.07,34.99,68.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.59,33.0,55.2,Gryllidae,53,59.12,30.06,76.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.98,25.4,51.6,Gryllidae,57,64.74,25.02,79.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.11,29.5,67.7,Gryllidae,58,55.3,34.51,81.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.82,25.1,70.4,Gryllidae,32,60.2,30.15,82.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.14,30.7,61.8,Gryllidae,37,54.82,36.28,89.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.93,26.8,59.5,Gryllidae,51,57.46,32.41,91.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.1,30.6,65.1,Gryllidae,47,58.53,31.53,92.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.24,31.3,76.3,Gryllidae,31,50.14,37.73,77.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.73,31.7,75.5,Gryllidae,32,54.11,35.45,74.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.5,25.1,51.3,Gryllidae,45,61.61,29.27,72.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.01,33.2,55.4,Gryllidae,48,55.25,34.92,75.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.81,26.3,57.1,Gryllidae,35,59.21,30.16,85.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.55,24.4,57.5,Gryllidae,35,59.1,30.33,85.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.52,29.5,67.1,Gryllidae,33,59.84,29.69,94.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.95,27.7,62.5,Gryllidae,46,60.84,30.04,91.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.77,32.3,51.5,Gryllidae,30,55.7,34.79,68.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.79,32.1,61.2,Gryllidae,47,53.71,34.62,80.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.02,27.2,65.7,Gryllidae,44,55.43,33.27,93.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.28,33.5,53.1,Gryllidae,43,55.64,33.77,70.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.91,26.9,75.0,Gryllidae,50,58.11,31.29,81.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.16,29.2,51.6,Gryllidae,45,59.7,31.09,82.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.92,26.6,77.7,Gryllidae,51,54.13,32.67,79.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.97,33.4,53.0,Gryllidae,52,52.54,35.23,69.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.47,25.6,75.3,Gryllidae,57,54.71,33.53,82.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.57,24.4,77.1,Gryllidae,53,58.06,29.47,74.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.0,28.4,79.4,Gryllidae,45,58.17,30.6,83.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.64,33.9,74.1,Gryllidae,44,54.21,33.81,74.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.72,32.9,73.4,Gryllidae,37,54.76,34.01,71.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.94,31.5,69.3,Gryllidae,47,53.39,36.29,80.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
